ID ,Serialnumber ,Owner ,Lost note,Emitting packets,Mac Adress
CSG A1,HGJGM0̷UPP0̷GV,N/A,N/A,NO ,N/A
CSG A3,HGJGMSSBP0̷GV,N/A,N/A,YES,D3:22:77:BF:AA:27
CSG A4,HGJGMRWHP0̷GV,N/A,N/A,NO ,N/A
CSG A5,HGHH3254P0̷GV,* * ** *4 03,This item has been lost. Please call me. 55 555,YES,F2:0B:6D:12:D2:41
CSG A6,HGHH37XQP0̷GV,N/A,N/A,NO ,N/A
CSG A7,HGHH37Y8P0̷GV,* * *1 28,N/A,YES,F0:79:C0:40:FB:93
CSG A8,HGHH37RZP0̷GV,N/A,N/A,YES,DC:6B:61:2B:5E:43
CSG A9 ,HGQGMFSBP0̷GV,* * *9 32,N/A,YES,CF:A3:89:0C:C9:51
CSG A10 ,HGQGMHEMP0̷GV,* * *9 32,N/A,YES,E4:BF:94:1D:83:8D
CSG A11,HGQGMF7MP0̷GV,N/A,N/A,NO ,N/A
CSG A12,HGQGMG3CP0̷GV,N/A,N/A,NO ,N/A
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,Unknown MAC ADRESS
,,,,,E8:3A:1E:36:B5:76
,,,,,E8:1B:27:ED:7A:02
