RSSI-Value,MAC-Address,Timestamp,Distance
-32,DC:6B:61:2B:5E:43,2024-09-11 11:21:01,0
-45,D3:22:77:BF:AA:27,2024-09-11 11:21:02,0
-32,F2:0B:6D:12:D2:41,2024-09-11 11:21:03,0
-39,F0:79:C0:40:FB:93,2024-09-11 11:21:04,0
-40,D3:22:77:BF:AA:27,2024-09-11 11:21:04,0
-31,F2:0B:6D:12:D2:41,2024-09-11 11:21:05,0
-26,DC:6B:61:2B:5E:43,2024-09-11 11:21:05,0
-36,F0:79:C0:40:FB:93,2024-09-11 11:21:06,0
-49,D3:22:77:BF:AA:27,2024-09-11 11:21:06,0
-87,C3:2F:5C:1C:A6:49,2024-09-11 11:21:07,0
-37,F2:0B:6D:12:D2:41,2024-09-11 11:21:07,0
-25,DC:6B:61:2B:5E:43,2024-09-11 11:21:07,0
-45,D3:22:77:BF:AA:27,2024-09-11 11:21:08,0
-30,CF:A3:89:0C:C9:51,2024-09-11 11:21:09,0
-38,E2:8B:8A:36:C8:1B,2024-09-11 11:21:09,0
-37,F2:0B:6D:12:D2:41,2024-09-11 11:21:09,0
-34,CF:A3:89:0C:C9:51,2024-09-11 11:21:11,0
-32,F2:0B:6D:12:D2:41,2024-09-11 11:21:11,0
-28,DC:6B:61:2B:5E:43,2024-09-11 11:21:11,0
-34,CF:A3:89:0C:C9:51,2024-09-11 11:21:13,0
-32,E2:8B:8A:36:C8:1B,2024-09-11 11:21:13,0
-28,DC:6B:61:2B:5E:43,2024-09-11 11:21:13,0
-31,CF:A3:89:0C:C9:51,2024-09-11 11:21:15,0
-31,E2:8B:8A:36:C8:1B,2024-09-11 11:21:15,0
-28,DC:6B:61:2B:5E:43,2024-09-11 11:21:21,0
-40,F0:79:C0:40:FB:93,2024-09-11 11:21:22,0
-34,CF:A3:89:0C:C9:51,2024-09-11 11:21:23,0
-32,E2:8B:8A:36:C8:1B,2024-09-11 11:21:23,0
-28,DC:6B:61:2B:5E:43,2024-09-11 11:21:23,0
-25,DC:6B:61:2B:5E:43,2024-09-11 11:21:25,0
-36,F0:79:C0:40:FB:93,2024-09-11 11:21:26,0
-30,CF:A3:89:0C:C9:51,2024-09-11 11:21:27,0
-25,DC:6B:61:2B:5E:43,2024-09-11 11:21:27,0
-31,F2:0B:6D:12:D2:41,2024-09-11 11:21:29,0
-26,DC:6B:61:2B:5E:43,2024-09-11 11:21:29,0
-48,D3:22:77:BF:AA:27,2024-09-11 11:21:30,0
-26,DC:6B:61:2B:5E:43,2024-09-11 11:21:31,0
-30,CF:A3:89:0C:C9:51,2024-09-11 11:21:33,0
-87,C3:2F:5C:1C:A6:49,2024-09-11 11:21:33,0
-45,D3:22:77:BF:AA:27,2024-09-11 11:21:34,0
-23,E4:BF:94:1D:83:8D,2024-09-11 11:21:34,0
-37,E2:8B:8A:36:C8:1B,2024-09-11 11:21:35,0
-25,DC:6B:61:2B:5E:43,2024-09-11 11:21:35,0
-32,E2:8B:8A:36:C8:1B,2024-09-11 11:21:37,0
-40,F0:79:C0:40:FB:93,2024-09-11 11:21:38,0
-31,E2:8B:8A:36:C8:1B,2024-09-11 11:21:39,0
-31,CF:A3:89:0C:C9:51,2024-09-11 11:21:41,0
-31,E2:8B:8A:36:C8:1B,2024-09-11 11:21:41,0
-36,F0:79:C0:40:FB:93,2024-09-11 11:21:42,0
-45,D3:22:77:BF:AA:27,2024-09-11 11:21:42,0
-31,CF:A3:89:0C:C9:51,2024-09-11 11:21:43,0
-87,C3:2F:5C:1C:A6:49,2024-09-11 11:21:43,0
-41,F2:0B:6D:12:D2:41,2024-09-11 11:21:43,0
-34,F0:79:C0:40:FB:93,2024-09-11 11:21:44,0
-44,D3:22:77:BF:AA:27,2024-09-11 11:21:44,0
-22,E4:BF:94:1D:83:8D,2024-09-11 11:21:44,0
-35,CF:A3:89:0C:C9:51,2024-09-11 11:21:45,0
-31,F2:0B:6D:12:D2:41,2024-09-11 11:21:45,0
-47,D3:22:77:BF:AA:27,2024-09-11 11:21:46,0
-37,F2:0B:6D:12:D2:41,2024-09-11 11:21:47,0
-36,F0:79:C0:40:FB:93,2024-09-11 11:21:48,0
-22,E4:BF:94:1D:83:8D,2024-09-11 11:21:48,0
-37,E2:8B:8A:36:C8:1B,2024-09-11 11:21:49,0
-32,F2:0B:6D:12:D2:41,2024-09-11 11:21:49,0
-36,F0:79:C0:40:FB:93,2024-09-11 11:21:50,0
-27,E4:BF:94:1D:83:8D,2024-09-11 11:21:50,0
-34,CF:A3:89:0C:C9:51,2024-09-11 11:21:51,0
-40,F0:79:C0:40:FB:93,2024-09-11 11:21:52,0
-48,D3:22:77:BF:AA:27,2024-09-11 11:21:52,0
-33,CF:A3:89:0C:C9:51,2024-09-11 11:21:53,0
-31,F2:0B:6D:12:D2:41,2024-09-11 11:21:53,0
-27,DC:6B:61:2B:5E:43,2024-09-11 11:21:53,0
-39,F0:79:C0:40:FB:93,2024-09-11 11:21:54,0
-48,D3:22:77:BF:AA:27,2024-09-11 11:21:54,0
-27,E4:BF:94:1D:83:8D,2024-09-11 11:21:54,0
-31,CF:A3:89:0C:C9:51,2024-09-11 11:21:55,0
-85,C3:2F:5C:1C:A6:49,2024-09-11 11:21:55,0
-37,F2:0B:6D:12:D2:41,2024-09-11 11:21:55,0
-27,DC:6B:61:2B:5E:43,2024-09-11 11:21:55,0
-37,F0:79:C0:40:FB:93,2024-09-11 11:21:56,0
-44,D3:22:77:BF:AA:27,2024-09-11 11:21:56,0
-24,E4:BF:94:1D:83:8D,2024-09-11 11:21:56,0
-31,CF:A3:89:0C:C9:51,2024-09-11 11:21:57,0
-37,F2:0B:6D:12:D2:41,2024-09-11 11:21:57,0
-27,DC:6B:61:2B:5E:43,2024-09-11 11:21:57,0
-37,F0:79:C0:40:FB:93,2024-09-11 11:21:58,0
-24,E4:BF:94:1D:83:8D,2024-09-11 11:21:58,0
-31,CF:A3:89:0C:C9:51,2024-09-11 11:21:59,0
-86,C3:2F:5C:1C:A6:49,2024-09-11 11:21:59,0
-37,F2:0B:6D:12:D2:41,2024-09-11 11:21:59,0
-27,DC:6B:61:2B:5E:43,2024-09-11 11:21:59,0
-42,D3:22:77:BF:AA:27,2024-09-11 11:22:00,0
-23,E4:BF:94:1D:83:8D,2024-09-11 11:22:00,0
