RSSI-Value,MAC-Address,Timestamp,Distance
-37,CF:A3:89:0C:C9:51,2024-09-11 10:40:19,0
-40,D7:51:19:88:5C:83,2024-09-11 10:40:21,0
-87,F1:2D:A8:7D:75:0D,2024-09-11 10:40:21,0
-36,D7:51:19:88:5C:83,2024-09-11 10:40:23,0
-38,E4:BF:94:1D:83:8D,2024-09-11 10:40:27,0
-36,E4:BF:94:1D:83:8D,2024-09-11 10:40:29,0
-39,E4:BF:94:1D:83:8D,2024-09-11 10:40:31,0
-34,CF:A3:89:0C:C9:51,2024-09-11 10:40:31,0
-37,E4:BF:94:1D:83:8D,2024-09-11 10:40:33,0
-33,CF:A3:89:0C:C9:51,2024-09-11 10:40:33,0
-44,D7:51:19:88:5C:83,2024-09-11 10:40:35,0
-35,E4:BF:94:1D:83:8D,2024-09-11 10:40:35,0
-90,F1:2D:A8:7D:75:0D,2024-09-11 10:40:35,0
-36,D7:51:19:88:5C:83,2024-09-11 10:40:37,0
-39,E4:BF:94:1D:83:8D,2024-09-11 10:40:37,0
-41,D7:51:19:88:5C:83,2024-09-11 10:40:39,0
-35,E4:BF:94:1D:83:8D,2024-09-11 10:40:39,0
-41,D7:51:19:88:5C:83,2024-09-11 10:40:41,0
-34,E4:BF:94:1D:83:8D,2024-09-11 10:40:41,0
-36,D7:51:19:88:5C:83,2024-09-11 10:40:43,0
-42,D7:51:19:88:5C:83,2024-09-11 10:40:45,0
-89,F1:2D:A8:7D:75:0D,2024-09-11 10:40:45,0
-38,D7:51:19:88:5C:83,2024-09-11 10:40:47,0
-38,D7:51:19:88:5C:83,2024-09-11 10:40:49,0
-39,DC:6B:61:2B:5E:43,2024-09-11 10:40:50,0
-90,F1:2D:A8:7D:75:0D,2024-09-11 10:40:51,0
-40,DC:6B:61:2B:5E:43,2024-09-11 10:40:52,0
-37,D7:51:19:88:5C:83,2024-09-11 10:40:53,0
-47,DC:6B:61:2B:5E:43,2024-09-11 10:40:54,0
-42,E4:BF:94:1D:83:8D,2024-09-11 10:40:55,0
-47,D7:51:19:88:5C:83,2024-09-11 10:40:57,0
-43,E4:BF:94:1D:83:8D,2024-09-11 10:40:57,0
-42,D7:51:19:88:5C:83,2024-09-11 10:40:59,0
-43,E4:BF:94:1D:83:8D,2024-09-11 10:40:59,0
-90,F1:2D:A8:7D:75:0D,2024-09-11 10:40:59,0
-46,D7:51:19:88:5C:83,2024-09-11 10:41:01,0
-43,E4:BF:94:1D:83:8D,2024-09-11 10:41:01,0
-42,CF:A3:89:0C:C9:51,2024-09-11 10:41:01,0
-41,D7:51:19:88:5C:83,2024-09-11 10:41:03,0
-43,E4:BF:94:1D:83:8D,2024-09-11 10:41:03,0
-43,D7:51:19:88:5C:83,2024-09-11 10:41:07,0
-44,E4:BF:94:1D:83:8D,2024-09-11 10:41:09,0
-54,DC:6B:61:2B:5E:43,2024-09-11 10:41:10,0
-46,E4:BF:94:1D:83:8D,2024-09-11 10:41:11,0
-50,DC:6B:61:2B:5E:43,2024-09-11 10:41:12,0
-43,D7:51:19:88:5C:83,2024-09-11 10:41:13,0
-91,F1:2D:A8:7D:75:0D,2024-09-11 10:41:13,0
-51,DC:6B:61:2B:5E:43,2024-09-11 10:41:14,0
-43,E4:BF:94:1D:83:8D,2024-09-11 10:41:15,0
-49,DC:6B:61:2B:5E:43,2024-09-11 10:41:16,0
-43,CF:A3:89:0C:C9:51,2024-09-11 10:41:17,0
-50,DC:6B:61:2B:5E:43,2024-09-11 10:41:18,0
-43,CF:A3:89:0C:C9:51,2024-09-11 10:41:19,0
