Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0.0,-20.753012048192772,166,11,60.0,-29,-17
0.1,-42.61818181818182,165,11,61.0,-61,-33
0.2,-46.42774566473989,173,11,62.0,-78,-31
0.3,-51.976190476190474,168,11,63.0,-77,-38
0.4,-55.64705882352941,153,11,61.0,-84,-44
0.5,-56.54601226993865,163,11,60.0,-79,-45
0.6,-59.0,159,11,61.0,-90,-48
0.7,-62.4969696969697,165,12,61.0,-87,-49
0.8,-62.02439024390244,164,11,60.0,-81,-51
0.9,-61.398809523809526,168,11,59.0,-84,-48
1.0,-64.55974842767296,159,11,60.0,-87,-52
1.1,-64.88271604938272,162,11,61.0,-85,-54
1.2,-61.91558441558441,154,11,57.0,-81,-53
1.3,-60.76729559748428,159,11,60.0,-84,-50
1.4,-62.09803921568628,153,11,60.0,-81,-52
1.5,-64.11728395061728,162,11,60.0,-88,-52
1.6,-65.01190476190476,168,11,59.0,-82,-53
1.7,-63.817567567567565,148,12,58.0,-84,-52
1.8,-64.0,153,11,59.0,-78,-50
1.9,-63.53333333333333,165,11,61.0,-85,-51
2.0,-65.09150326797386,153,11,58.0,-82,-52
2.5,-67.58,150,11,59.0,-90,-57
3.0,-64.67515923566879,157,11,61.0,-84,-51
3.5,-63.795918367346935,147,11,61.0,-85,-56
4.0,-63.44025157232704,159,11,58.0,-85,-57
4.5,-64.11695906432749,171,11,62.0,-83,-56
5.0,-69.20858895705521,163,11,63.0,-88,-57
5.5,-73.15189873417721,158,11,61.0,-87,-57
6.0,-72.86092715231788,151,11,61.0,-90,-60
6.5,-69.45806451612903,155,11,60.0,-82,-55
7.0,-74.2875816993464,153,11,58.0,-89,-60
7.5,-71.66666666666667,150,11,61.0,-89,-60
8.0,-71.06748466257669,163,11,60.0,-85,-63
8.5,-70.31372549019608,153,11,59.0,-84,-59
9.0,-71.37974683544304,158,11,60.0,-86,-62
9.5,-75.37908496732027,153,11,59.0,-90,-65
10.0,-74.95270270270271,148,11,61.0,-88,-65
Overall,-62.92434827057421,5869,13,4378.0,-90,-17
