Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0.0,-46.32258064516129,62,5,60.0,-88,-17
0.1,-56.27272727272727,66,5,60.0,-86,-37
0.2,-53.7027027027027,37,5,58.0,-82,-40
0.3,-59.08474576271186,59,5,60.0,-85,-44
0.4,-61.01162790697674,86,5,59.0,-85,-45
0.5,-64.9041095890411,73,5,60.0,-82,-52
0.6,-64.59701492537313,67,5,57.0,-93,-52
0.7,-64.32876712328768,73,5,69.0,-86,-52
0.8,-63.19178082191781,73,5,59.0,-92,-52
0.9,-64.92207792207792,77,5,61.0,-93,-49
1.0,-66.79220779220779,77,5,56.0,-91,-56
1.1,-66.15094339622641,53,5,57.0,-91,-57
1.2,-64.21212121212122,66,5,58.0,-81,-54
1.3,-67.41353383458646,133,7,60.0,-92,-49
1.4,-67.91891891891892,74,5,58.0,-89,-57
1.5,-66.10227272727273,88,5,57.0,-84,-55
1.6,-65.82894736842105,76,5,62.0,-90,-57
1.7,-65.41791044776119,67,5,59.0,-92,-48
1.8,-67.58823529411765,68,5,62.0,-85,-55
1.9,-71.1046511627907,86,5,60.0,-93,-58
2.0,-63.8,70,5,63.0,-86,-50
2.5,-68.01282051282051,78,5,60.0,-88,-51
3.0,-67.24242424242425,66,5,58.0,-84,-47
3.5,-70.71052631578948,114,5,67.0,-89,-54
4.0,-63.506493506493506,77,5,80.0,-84,-55
4.5,-66.55405405405405,74,5,62.0,-90,-54
5.0,-68.84126984126983,63,5,60.0,-90,-55
5.5,-71.98936170212765,94,5,66.0,-92,-55
6.0,-71.10169491525424,59,5,56.0,-88,-50
6.5,-72.3943661971831,71,5,59.0,-85,-52
7.0,-72.48101265822785,79,5,66.0,-84,-49
7.5,-71.5,54,3,61.0,-86,-63
8.0,-75.13636363636364,44,3,59.0,-87,-68
8.5,-69.1195652173913,92,3,186.0,-84,-61
Overall,-66.20552884615384,2496,15,4797.0,-93,-17
