Distance,average_rssi,total_measurements,number_different_mac_addresses,time_between_first_and_last_measurement,lowest_rssi,highest_rssi
0.0,-21.82905982905983,234,12,88.0,-34,-17
0.3,-49.64485981308411,107,12,40.0,-74,-42
0.4,-54.515151515151516,132,11,50.0,-66,-45
0.5,-62.68508287292818,181,11,62.0,-80,-55
0.6,-65.98095238095237,105,11,39.0,-75,-55
0.7,-67.00671140939598,149,11,53.0,-86,-58
0.8,-69.4,185,11,66.0,-88,-58
0.9,-74.53012048192771,166,11,63.0,-88,-63
1.0,-75.63265306122449,147,12,61.0,-91,-66
1.1,-77.88888888888889,252,11,95.0,-92,-69
1.2,-79.14347826086957,230,11,94.0,-91,-68
1.3,-79.2948717948718,234,11,94.0,-92,-68
1.4,-80.30046948356808,213,11,91.0,-94,-70
1.5,-81.55045871559633,218,11,92.0,-92,-69
1.6,-83.6534090909091,176,11,92.0,-91,-74
1.7,-83.8663101604278,187,11,92.0,-93,-77
1.8,-84.54938271604938,162,11,91.0,-93,-76
1.9,-83.96470588235294,170,12,95.0,-92,-75
2.0,-85.14942528735632,174,11,101.0,-92,-75
Overall,-72.08182349503214,3422,15,1766.0,-94,-17
