macAddress;timestampInMilliSeconds;lat;lng;type;id
7E:54:2C:E2:26:18;1669219846795;47.3934526;8.5291852;AppleDevice;1
42:9B:6B:0D:99:53;1669219848300;47.3934526;8.5291852;AppleDevice;2
60:33:A3:D6:24:98;1669219846786;47.3934526;8.5291852;Chipolo ONE Spot;3
64:F1:56:40:4D:DB;1669219846840;47.3934526;8.5291852;AirTag;4
D1:3E:A6:7A:05:19;1669219851904;47.3933953;8.5292621;AppleDevice;5
E7:06:7D:2B:5B:51;1669219848984;47.3934526;8.5291852;AppleDevice;6
32:F6:93:87:76:9E;1669219846792;47.3934526;8.5291852;Unknown;7
5B:5F:4B:75:FF:CB;1669219847549;47.3934526;8.5291852;AppleDevice;8
6B:27:20:64:FC:87;1669219852718;47.3933953;8.5292621;AirTag;9
18:26:B0:F7:17:76;1669219848277;47.3934526;8.5291852;AppleDevice;10
4E:08:E2:08:0C:4A;1669219856259;47.3933467;8.5293106;AppleDevice;11
07:95:9F:A1:9F:0B;1669219847559;47.3934526;8.5291852;Unknown;12
EC:A9:07:0C:4E:18;1669219854773;47.3933953;8.5292621;AppleDevice;13
EC:81:93:56:99:F8;1669219846740;47.3934526;8.5291852;Unknown;14
78:BD:BC:62:46:13;1669219848257;47.3934526;8.5291852;Unknown;15
71:84:AB:70:56:10;1669219846875;47.3934526;8.5291852;AppleDevice;16
64:9C:89:2A:FB:D1;1669219848275;47.3934526;8.5291852;AppleDevice;17
2F:27:92:E2:32:A1;1669219854060;47.3933953;8.5292621;Unknown;18
7D:DD:71:75:C4:3E;1669219846826;47.3934526;8.5291852;AppleDevice;19
44:9D:55:CC:ED:C3;1669219857900;47.3933467;8.5293106;AirPods;20
78:46:4C:BB:51:A0;1669219848295;47.3934526;8.5291852;AppleDevice;21
44:7B:35:DC:DB:8F;1669219851221;47.3933953;8.5292621;Galaxy Watch4 (VDBM);22
00:09:A7:5A:61:24;1669219846849;47.3934526;8.5291852;LE-E8 Sport_L;23
3F:94:2E:A4:95:14;1669219846816;47.3934526;8.5291852;Unknown;24
EC:81:93:A6:03:5A;1669219857920;47.3933467;8.5293106;Unknown;25
40:CB:C0:F3:A9:B7;1669219846873;47.3934526;8.5291852;AppleDevice;26
C0:71:93:9D:E3:19;1669219847613;47.3934526;8.5291852;AppleDevice;27
EA:28:80:2F:73:6D;1669219851982;47.3933953;8.5292621;AppleDevice;28
EF:F2:7A:34:12:2E;1669219848317;47.3934526;8.5291852;AppleDevice;29
B9:D7:13:10:10:00;1669219847537;47.3934526;8.5291852;Tier;30
3E:B5:CC:74:0E:01;1669219851899;47.3933953;8.5292621;AppleDevice;31
52:E6:17:45:C5:4F;1669219847530;47.3934526;8.5291852;AirPods;32
63:31:52:73:A9:DF;1669219848959;47.3934526;8.5291852;AppleDevice;33
1A:8B:A3:71:30:BC;1669219848268;47.3934526;8.5291852;AppleDevice;34
50:DE:06:82:10:9F;1669219855567;47.3933467;8.5293106;AppleDevice;35
6B:1B:4A:D9:DB:D1;1669219848264;47.3934526;8.5291852;AppleDevice;36
B0:22:7A:AC:42:6D;1669219855571;47.3933467;8.5293106;Unknown;37
67:06:A6:F9:92:EA;1669219857931;47.3933467;8.5293106;AppleDevice;38
E0:0E:E4:36:3B:C1;1669219857790;47.3933467;8.5293106;Unknown;39
F7:96:B7:FF:DA:C8;1669219847573;47.3934526;8.5291852;AppleDevice;40
E9:16:CC:EE:AF:58;1669219851234;47.3933953;8.5292621;AppleDevice;41
C1:05:F4:7B:F8:90;1669219855557;47.3933467;8.5293106;AppleDevice;42
14:3F:A6:63:37:07;1669219846756;47.3934526;8.5291852;LE_WF-1000XM3;43
48:AE:3C:E0:16:36;1669219846789;47.3934526;8.5291852;AirTag;44
4E:96:E1:25:F8:DA;1669219848964;47.3934526;8.5291852;AppleDevice;45
D7:78:94:E2:6D:AF;1669219846877;47.3934526;8.5291852;AppleDevice;46
73:27:CE:BB:FA:0F;1669219846835;47.3934526;8.5291852;Galaxy SmartTag+;47
49:0A:44:46:53:48;1669219846866;47.3934526;8.5291852;LE-Saras Bose;48
75:F7:F2:D7:64:A2;1669219848254;47.3934526;8.5291852;Chipolo ONE Spot;49
DC:99:CD:6D:2C:C9;1669219846778;47.3934526;8.5291852;Buds2;50
58:74:4E:75:B1:A7;1669219851177;47.3933953;8.5292621;Chipolo ONE Spot;51
FA:B4:6A:C4:3B:2F;1669219855579;47.3933467;8.5293106;ENVY Photo 6200 series;52
1F:26:E8:D4:F7:60;1669219852695;47.3933953;8.5292621;AppleDevice;53
70:B1:3D:C4:BF:39;1669219846807;47.3934526;8.5291852;Unknown;54
C4:7A:C4:66:D6:27;1669219851941;47.3933953;8.5292621;Chipolo ONE Spot;55
F6:CE:0F:66:94:B0;1669219846854;47.3934526;8.5291852;AppleDevice;56
F3:40:FB:D8:37:A7;1669219846799;47.3934526;8.5291852;AppleDevice;57
E9:89:33:0E:9D:21;1669219855587;47.3933467;8.5293106;AirPods;58
E6:3C:9E:BE:5B:95;1669219852722;47.3933953;8.5292621;AppleDevice;59
64:D2:C4:B6:E7:05;1669219851928;47.3933953;8.5292621;AppleDevice;60
72:78:DC:89:61:5F;1669219848334;47.3934526;8.5291852;AirPods;61
4F:4A:98:6D:D0:1E;1669219855537;47.3933467;8.5293106;AirPods;62
F8:33:51:2D:F8:2F;1669219848988;47.3934526;8.5291852;AppleDevice;63
14:D2:7E:93:F6:BC;1669219848246;47.3934526;8.5291852;Unknown;64
43:73:B5:EB:2C:B5;1669219847544;47.3934526;8.5291852;AppleDevice;65
61:9D:83:5A:E6:EC;1669219846805;47.3934526;8.5291852;AirPods;66
44:5C:E9:AC:25:05;1669219848976;47.3934526;8.5291852;Unknown;67
E2:07:E2:FC:66:97;1669219851884;47.3933953;8.5292621;AppleDevice;68
EB:3B:A4:F2:74:25;1669219850486;47.3934526;8.5291852;AppleDevice;69
47:B9:00:17:E3:83;1669219848272;47.3934526;8.5291852;Chipolo ONE Spot;70
00:7C:2D:29:D2:AA;1669219847546;47.3934526;8.5291852;Unknown;71
40:82:C8:20:7D:A0;1669219854138;47.3933953;8.5292621;Chipolo ONE Spot;72
DD:8E:FA:D8:DA:25;1669219856315;47.3933467;8.5293106;AppleDevice;73
CC:42:F6:DD:31:61;1669219846804;47.3934526;8.5291852;AppleDevice;74
05:8F:A3:C9:6A:1F;1669219848992;47.3934526;8.5291852;AppleDevice;75
09:E9:89:AF:1F:50;1669219848969;47.3934526;8.5291852;AppleDevice;76
53:F5:40:D6:95:BD;1669219848291;47.3934526;8.5291852;AppleDevice;77
31:72:A3:B0:C9:05;1669219846797;47.3934526;8.5291852;AppleDevice;78
68:72:C3:81:98:E9;1669219846745;47.3934526;8.5291852;Unknown;79
67:1B:94:45:00:E7;1669219846788;47.3934526;8.5291852;Chipolo ONE Spot;80
70:CC:59:41:A7:64;1669219847554;47.3934526;8.5291852;Unknown;81
7A:2E:84:BC:EE:CE;1669219851976;47.3933953;8.5292621;Unknown;82
C3:FC:D9:45:F8:A7;1669219846764;47.3934526;8.5291852;BLE_nuviCam #3903911605;83
1D:08:F2:C9:33:BF;1669219846801;47.3934526;8.5291852;Unknown;84
44:27:F3:42:D7:A8;1669219851961;47.3933953;8.5292621;XiaomiWatchS1Active D7A8;85
4E:71:62:E8:60:CA;1669219849055;47.3934526;8.5291852;AppleDevice;86
69:62:9D:1E:34:5C;1669219852727;47.3933953;8.5292621;AppleDevice;87
64:E7:D8:3A:FF:E7;1669219846782;47.3934526;8.5291852;Unknown;88
50:EC:3C:02:72:B6;1669219851173;47.3933953;8.5292621;AirTag;89
F3:A4:3F:BB:48:7B;1669219857946;47.3933467;8.5293106;AirPods;90
64:8A:BC:63:FD:53;1669219848995;47.3934526;8.5291852;Chipolo ONE Spot;91
54:CF:D7:AE:40:43;1669219846776;47.3934526;8.5291852;AirTag;92
E0:C9:62:4A:07:33;1669219851147;47.3933953;8.5292621;AppleDevice;93
6F:00:7D:83:C6:43;1669219852701;47.3933953;8.5292621;Chipolo ONE Spot;94
1D:7F:8F:5B:CF:10;1669219879660;47.3930599;8.5292021;AppleDevice;95
E8:5D:86:DB:E7:46;1669219881949;47.3929914;8.5291391;Domyos-EL-2161;96
31:1A:16:A3:F7:AD;1669219881281;47.3929914;8.5291391;Unknown;97
F5:7A:6B:91:9F:93;1669219880401;47.3929914;8.5291391;AppleDevice;98
F3:6E:3D:B0:BA:59;1669219880428;47.3929914;8.5291391;AppleDevice;99
4E:08:E2:08:0C:4A;1669219876790;47.3930599;8.5292021;AppleDevice;100
EC:A9:07:0C:4E:18;1669219877487;47.3930599;8.5292021;AppleDevice;101
C4:E4:AF:A1:F9:48;1669219878180;47.3930599;8.5292021;AppleDevice;102
E8:B0:30:90:7D:FA;1669219887011;47.392902;8.5291043;AppleDevice;103
64:9C:89:2A:FB:D1;1669219880395;47.3929914;8.5291391;AppleDevice;104
70:F6:05:79:06:00;1669219878185;47.3930599;8.5292021;AirPods;105
00:09:A7:5A:61:24;1669219879691;47.3930599;8.5292021;LE-E8 Sport_L;106
4F:8E:15:83:F2:B8;1669219880381;47.3929914;8.5291391;AppleDevice;107
49:55:48:28:B7:D7;1669219883373;47.3929914;8.5291391;AirTag;108
41:AF:5E:58:30:B2;1669219884102;47.3929914;8.5291391;AirTag;109
80:47:86:60:0A:9D;1669219878137;47.3930599;8.5292021;Unknown;110
B9:D7:13:10:10:00;1669219878188;47.3930599;8.5292021;Tier;111
3E:B5:CC:74:0E:01;1669219877511;47.3930599;8.5292021;AppleDevice;112
B7:52:C6:2F:67:FD;1669219879639;47.3930599;8.5292021;ES600;113
2F:A4:CC:03:4C:2A;1669219887694;47.392902;8.5291043;AppleDevice;114
40:18:9D:35:2D:55;1669219876803;47.3930599;8.5292021;AirPods;115
66:CE:8F:68:E6:C6;1669219878149;47.3930599;8.5292021;AppleDevice;116
49:0A:44:46:53:48;1669219880460;47.3929914;8.5291391;LE-Saras Bose;117
