macAddress;timestampInMilliSeconds;lat;lng;type;id
28:B6:D2:64:70:6E;1669294798615;47.3930083;8.5293418;Unknown;1
69:56:20:12:4B:DD;1669294792920;47.3931559;8.5293481;AppleDevice;2
CA:8E:CB:37:FC:10;1669294793502;47.3931559;8.5293481;AppleDevice;3
D7:CD:1D:ED:4C:D6;1669294792807;47.3931559;8.5293481;AppleDevice;4
53:7B:F8:36:42:CF;1669294789164;47.3931559;8.5293481;AppleDevice;5
FA:F5:70:B6:61:4F;1669294790631;47.3931559;8.5293481;AppleDevice;6
EC:A9:07:0C:4E:18;1669294789153;47.3931559;8.5293481;AppleDevice;7
5B:CA:95:4A:A9:F8;1669294800073;47.3930083;8.5293418;AppleDevice;8
34:19:54:A5:A8:05;1669294789178;47.3931559;8.5293481;AppleDevice;9
EC:81:93:56:99:F8;1669294789147;47.3931559;8.5293481;Unknown;10
66:F3:2D:2A:F9:FA;1669294800094;47.3930083;8.5293418;AppleDevice;11
EC:81:93:A6:03:5A;1669294794218;47.3930727;8.5293727;Unknown;12
40:B4:52:5B:55:93;1669294790683;47.3931559;8.5293481;AirTag;13
D0:D2:B0:93:C0:82;1669294789874;47.3931559;8.5293481;AppleDevice;14
5C:60:52:D0:C4:04;1669294793589;47.3931559;8.5293481;Galaxy SmartTag+;15
31:C4:36:35:50:87;1669294789818;47.3931559;8.5293481;AppleDevice;16
3E:B5:CC:74:0E:01;1669294789223;47.3931559;8.5293481;AppleDevice;17
66:83:BC:E3:6F:6B;1669294789257;47.3931559;8.5293481;AppleDevice;18
40:CB:C0:F3:A9:B7;1669294797187;47.3930727;8.5293727;AppleDevice;19
38:60:09:12:B0:B1;1669294798639;47.3930083;8.5293418;AppleDevice;20
F4:DA:76:9F:E4:97;1669294789226;47.3931559;8.5293481;AirTag;21
79:9D:23:91:61:34;1669294793573;47.3931559;8.5293481;AppleDevice;22
64:AC:B5:41:0D:35;1669294797922;47.3930727;8.5293727;AppleDevice;23
24:4B:03:30:19:5C;1669294800788;47.3930083;8.5293418;Unknown;24
B9:D7:13:10:10:00;1669294789120;47.3931559;8.5293481;Tier;25
61:92:8C:0F:7B:B8;1669294789252;47.3931559;8.5293481;AppleDevice;26
50:DE:06:82:10:9F;1669294789172;47.3931559;8.5293481;AppleDevice;27
6E:E5:3B:BE:12:E2;1669294789262;47.3931559;8.5293481;AppleDevice;28
E7:1A:36:83:1C:52;1669294797132;47.3930727;8.5293727;AppleDevice;29
B0:22:7A:AC:42:6D;1669294789133;47.3931559;8.5293481;Unknown;30
76:33:9D:3F:47:59;1669294790627;47.3931559;8.5293481;AppleDevice;31
30:4B:95:D7:33:83;1669294789175;47.3931559;8.5293481;Unknown;32
8C:79:F5:11:91:4D;1669294794210;47.3930727;8.5293727;Unknown;33
12:00:2C:C0:64:4D;1669294789118;47.3931559;8.5293481;AppleDevice;34
C2:42:27:BC:57:E0;1669294800097;47.3930083;8.5293418;AppleDevice;35
70:B1:3D:C4:BF:39;1669294789130;47.3931559;8.5293481;Unknown;36
7A:B0:04:F7:6A:EA;1669294798599;47.3930083;8.5293418;Chipolo ONE Spot;37
FA:B4:6A:C4:3B:2F;1669294789209;47.3931559;8.5293481;ENVY Photo 6200 series;38
5C:CB:2A:F2:0F:37;1669294790679;47.3931559;8.5293481;AppleDevice;39
1D:CF:9D:F4:E2:B7;1669294796424;47.3930727;8.5293727;AppleDevice;40
EE:E6:CB:D2:02:B6;1669294790700;47.3931559;8.5293481;AppleDevice;41
06:40:F8:C0:31:EC;1669294789221;47.3931559;8.5293481;AppleDevice;42
7F:1B:F5:D2:D7:21;1669294792857;47.3931559;8.5293481;Unknown;43
4A:CE:03:B8:54:A5;1669294789202;47.3931559;8.5293481;AppleDevice;44
13:67:DF:D5:49:46;1669294790669;47.3931559;8.5293481;Unknown;45
C6:C8:FB:C2:CD:13;1669294792811;47.3931559;8.5293481;AppleDevice;46
44:5C:E9:AC:25:05;1669294789127;47.3931559;8.5293481;Unknown;47
F9:02:33:8D:18:CA;1669294798623;47.3930083;8.5293418;AppleDevice;48
65:47:A4:25:FF:7B;1669294789906;47.3931559;8.5293481;Chipolo ONE Spot;49
D8:05:5A:8C:61:E5;1669294789167;47.3931559;8.5293481;Chipolo ONE Spot;50
31:72:A3:B0:C9:05;1669294789833;47.3931559;8.5293481;AppleDevice;51
68:72:C3:81:98:E9;1669294789124;47.3931559;8.5293481;Unknown;52
FF:F9:6F:A2:9A:EA;1669294790617;47.3931559;8.5293481;AirPods;53
00:80:25:E6:93:F9;1669294789112;47.3931559;8.5293481;Chipolo ONE Spot;54
23:6F:2C:64:3F:C1;1669294797940;47.3930727;8.5293727;YH-643FC1;55
5D:62:4B:AA:F2:1D;1669294789858;47.3931559;8.5293481;AppleDevice;56
01:67:34:DF:55:EA;1669294789259;47.3931559;8.5293481;Unknown;57
78:34:BA:E9:12:DB;1669294791283;47.3931559;8.5293481;AirPods;58
D5:AC:8C:18:58:75;1669294789923;47.3931559;8.5293481;AppleDevice;59
74:50:90:8E:89:82;1669294790623;47.3931559;8.5293481;AppleDevice;60
D1:2D:13:0C:B7:5E;1669294789823;47.3931559;8.5293481;Hue bulb Schlafzimmer;61
