macAddress;timestampInMilliSeconds;lat;lng;type;id
FD:17:50:93:1A:92;1669888034996;47.3930184;8.5290973;AppleDevice;1
5E:B8:CF:5A:91:1B;1669888034956;47.3930184;8.5290973;Chipolo ONE Spot;2
E0:FF:F1:2F:AC:4E;1669888032618;47.3930184;8.5290973;lime-931303658826;3
57:2B:64:7C:5C:1B;1669888032630;47.3930184;8.5290973;Jabra Evolve2 65;4
17:7C:4C:B8:DE:DA;1669888025245;47.393092;8.5290617;AppleDevice;5
78:C9:CE:E3:7B:F8;1669888028965;47.393092;8.5290617;Chipolo ONE Spot;6
EC:A9:07:0C:4E:18;1669888027779;47.393092;8.5290617;AppleDevice;7
53:FA:1D:0A:D8:12;1669888025207;47.393092;8.5290617;AirPods;8
D1:77:19:81:2D:82;1669888029025;47.393092;8.5290617;AppleDevice;9
6F:EE:FF:C8:E5:CB;1669888025220;47.393092;8.5290617;AirTag;10
35:70:4B:1A:DB:8C;1669888032639;47.3930184;8.5290973;AppleDevice;11
40:CB:C0:F3:A9:B7;1669888025268;47.393092;8.5290617;AppleDevice;12
75:67:F1:89:A8:EF;1669888025296;47.393092;8.5290617;AppleDevice;13
3E:B5:CC:74:0E:01;1669888032651;47.3930184;8.5290973;AppleDevice;14
44:8B:5D:B6:A2:B3;1669888025218;47.393092;8.5290617;AirPods;15
DA:BC:54:FA:A1:12;1669888032576;47.3930184;8.5290973;AppleDevice;16
11:6C:54:89:22:82;1669888026641;47.393092;8.5290617;AppleDevice;17
45:C7:EC:EF:36:26;1669888032642;47.3930184;8.5290973;Chipolo ONE Spot;18
1A:19:FC:C2:8D:5E;1669888033785;47.3930184;8.5290973;Unknown;19
50:DE:06:82:10:9F;1669888031378;47.3930184;8.5290973;AppleDevice;20
80:47:86:60:0A:9D;1669888032608;47.3930184;8.5290973;Unknown;21
B0:22:7A:AC:42:6D;1669888025301;47.393092;8.5290617;Unknown;22
50:DE:06:82:D8:19;1669888026661;47.393092;8.5290617;AppleDevice;23
